fairness,satisfaction,redist1,redist2,redist3,redist3R,redist4,redist4R,Sup4R,Household_Income,age,gender,Population_Inequality_Gini_Index,Population_Mean_Income,Social_Circle_Inequality_Gini_Index,Social_Circle_Mean_Income
5,7,1,1,3,4,6,1,1.75,74000,45,1,42.60774818,61950,23.73381295,52125
3,4,5,4,3,4,3,4,4.25,74000,26,1,40.43897412,65505,20.40561724,45930
1,1,5,6,2,5,5,2,4.5,75000,25,1,34.32323232,44550,8.25,60000
1,1,4,6,2,5,3,4,4.75,75000,66,1,33.00242131,61950,20.98693974,50535
8,8,1,2,3,4,6,1,2,75000,51,1,34.09246417,64890,23.47667931,67215
3,3,5,5,2,5,2,5,5,75000,31,2,31.99524209,53595,36.85302594,52050
2,2,3,4,3,4,3,4,3.75,75000,32,1,32.73262032,67320,28.19314642,48150
5,4,5,6,2,5,3,4,5,75000,28,1,40.68742443,49620,28.27106067,34365
3,6,4,4,5,2,5,2,3,75000,20,1,41.39081583,30705,26.90140845,25560
3,2,4,6,2,5,2,5,5,76000,29,1,37.93943798,61920,28.25680934,61680
4,3,4,5,2,5,2,5,4.75,76000,31,1,37.00247831,60525,6.969230769,39000
5,5,2,2,2,5,6,1,2.5,77000,36,1,24.21678056,79020,14.85731857,73170
8,7,1,1,2,5,6,1,2,78000,52,2,42.36743428,73605,30.46335245,47070
3,3,3,5,1,6,2,5,4.75,78000,35,2,35.41742461,62670,11.89587701,107325
3,3,5,4,4,3,5,2,3.5,78000, ,1,34.47590361,49800,20.44242424,49500
3,3,5,2,4,3,4,3,3.25,80000,37,2,28.64877739,47235,23.12352941,51000
9,8,2,3,5,2,5,2,2.25,80000,30,1,36.57739666,68220,20.00952381,70875
7,6,3,4,2,5,5,2,3.5,80000,32,1,30.68329177,60150,22.60402685,22350
2,2,2,5,1,6,3,4,4.25,80000,29,2,25.71317829,52245,14.8125,48000
1,1,4,5,1,6,3,4,4.75,80000,26,1,51.26052632,57000,43.15002344,31995
6,6,2,3,3,4,5,2,2.75,81000,37,1,49.37311307,52665,42.88285714,52500
7,7,4,3,3,4,4,3,3.5,82000,42,1,31.84696635,61065,27.45829179,90270
3,5,1,1,2,5,6,1,2,85000,53,2,48.97823721,68925,49.97748593,79950
8,8,3,2,3,4,4,3,3,85000,51,2,31.53550231,68235,30.11770944,70725
9,9,1,1,5,2,6,1,1.25,85000,36,2,24.57876712,87600,12.57927786,95550
7,6,1,3,4,3,5,2,2.25,85000,28,2,31.33469563,69735,19.94444444,70200
3,2,4,5,2,5,5,2,4,85000,26,1,41.83380176,80055,33.090603,49005
5,5,1,1,3,4,6,1,1.75,85000,40,1,41.09948187,72375,24.33150137,60045
3,3,5,6,2,5,5,2,4.5,86000,37,1,29.17140886,86985,23.31789059,60870
4,4,3,4,3,4,5,2,3.25,88100,28,2,30.65276685,57195,24.88777661,56940
